,Sterman biomass,SE_LSP trf_linear  biomass,SE_LSP trf_linear (constrained) biomass,SE_LSP trf_soft_l1  biomass,SE_LSP trf_huber (constrained) biomass
244,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
245,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
246,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
247,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
248,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
249,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
250,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
251,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
252,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
253,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
254,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
255,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
256,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
257,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
258,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
259,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
260,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
261,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
262,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
263,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
264,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
265,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
266,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
267,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
268,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
269,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
270,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
271,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
272,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
273,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
274,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
275,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
276,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
277,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
278,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
279,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
280,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
281,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
282,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
283,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
284,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
285,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
286,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
287,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
288,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
289,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
290,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
291,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
292,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
293,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
294,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
295,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
296,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
297,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
298,130.45314552144953,130.46815542003765,130.45401795138275,130.54319098161486,130.50451089364222
