,Sterman soil,SC_OH trf_linear  soil,SC_OH trf_linear (constrained) soil,SC_OH trf_soft_l1 (constrained) soil,SC_OH trf_huber (constrained) soil,SC_OH dogbox_huber (constrained) soil
2355,174.8641825580529,335.96830869627485,173.9619756317287,176.24319775479398,170.27657344916526,170.5013914412723
2356,174.8641826756803,335.98683841722726,173.96197716652426,176.24320896308055,170.27659107475236,170.5014091181881
2357,174.86418279248323,336.00534345736367,173.96197869249875,176.24322011775868,170.2766086206526,170.50142671518887
2358,174.86418290846748,336.02382384955786,173.96198020970286,176.2432312190848,170.27662608722628,170.50144423263586
2359,174.8641830236388,336.04227962663987,173.96198171818702,176.2432422673141,170.276643474832,170.50146167088874
2360,174.86418313800286,336.060710821396,173.96198321800134,176.24325326270048,170.27666078382683,170.50147903030555
2361,174.86418325156535,336.07911746656896,173.96198470919563,176.24326420549673,170.27667801456613,170.50149631124265
2362,174.86418336433192,336.0974995948577,173.96198619181948,176.24327509595437,170.27669516740372,170.50151351405484
2363,174.86418347630809,336.11585723891767,173.9619876659221,176.24328593432375,170.2767122426918,170.50153063909534
2364,174.86418358749944,336.1341904313609,173.96198913155249,176.243296720854,170.27672924078095,170.50154768671572
2365,174.86418369791144,336.1524992047559,173.96199058875933,176.24330745579306,170.27674616202023,170.50156465726604
2366,174.86418380754955,336.1707835916278,173.96199203759105,176.24331813938767,170.27676300675708,170.50158155109466
2367,174.8641839164192,336.18904362445846,173.96199347809576,176.24332877188343,170.27677977533736,170.50159836854846
2368,174.86418402452577,336.20727933568645,173.96199491032135,176.24333935352473,170.2767964681054,170.5016151099727
2369,174.86418413187462,336.2254907577071,173.96199633431536,176.24334988455482,170.27681308540394,170.50163177571113
2370,174.86418423847107,336.2436779228727,173.96199775012514,176.24336036521572,170.2768296275742,170.50164836610588
2371,174.86418434432042,336.26184086349224,173.9619991577977,176.2433707957484,170.2768460949558,170.50166488149762
2372,174.86418444942785,336.2799796118319,173.9620005573798,176.2433811763926,170.27686248788692,170.50168132222538
2373,174.8641845537986,336.29809420011475,173.962001948918,176.24339150738692,170.27687880670413,170.50169768862676
2374,174.8641846574378,336.316184660521,173.96200333245847,176.24340178896884,170.2768950517425,170.50171398103774
2375,174.86418476035058,336.334251025188,173.9620047080472,176.2434120213747,170.27691122333562,170.50173019979283
2376,174.86418486254206,336.3522933262102,173.9620060757299,176.2434222048397,170.27692732181552,170.50174634522503
2377,174.8641849640173,336.3703115956394,173.962007435552,176.24343233959792,170.27694334751274,170.5017624176658
2378,174.86418506478128,336.3883058654847,173.9620087875587,176.24344242588234,170.27695930075635,170.5017784174451
2379,174.86418516483903,336.4062761677126,173.96201013179487,176.24345246392477,170.27697518187392,170.50179434489147
2380,174.86418526419544,336.42422253424684,173.9620114683052,176.24346245395597,170.27699099119155,170.50181020033193
2381,174.8641853628555,336.44214499696886,173.9620127971341,176.2434723962056,170.27700672903384,170.50182598409197
2382,174.86418546082405,336.4600435877175,173.96201411832567,176.24348229090214,170.27702239572395,170.50184169649563
2383,174.86418555810593,336.47791833828927,173.96201543192385,176.24349213827307,170.27703799158354,170.50185733786557
2384,174.86418565470598,336.49576928043825,173.96201673797228,176.24350193854474,170.27705351693285,170.5018729085229
2385,174.86418575062896,336.5135964458763,173.96201803651434,176.24351169194242,170.27706897209066,170.50188840878727
2386,174.8641858458796,336.53139986627303,173.96201932759317,176.2435213986903,170.27708435737432,170.50190383897697
2387,174.86418594046265,336.5491795732558,173.9620206112517,176.2435310590115,170.27709967309974,170.50191919940877
2388,174.86418603438273,336.5669355984099,173.96202188753253,176.2435406731281,170.2771149195814,170.50193449039804
2389,174.86418612764456,336.5846679732785,173.96202315647807,176.2435502412611,170.27713009713236,170.5019497122587
2390,174.8641862202527,336.60237672936285,173.9620244181305,176.24355976363037,170.27714520606426,170.50196486530325
2391,174.86418631221176,336.6200618981222,173.96202567253175,176.24356924045486,170.27716024668732,170.50197994984285
2392,174.86418640352628,336.6377235109738,173.96202691972346,176.24357867195238,170.27717521931038,170.5019949661872
2393,174.86418649420077,336.6553615992932,173.96202815974706,176.24358805833972,170.27719012424086,170.50200991464462
2394,174.8641865842397,336.6729761944141,173.96202939264379,176.24359739983265,170.27720496178483,170.50202479552198
2395,174.86418667364757,336.69056732762846,173.96203061845455,176.24360669664588,170.27721973224695,170.5020396091248
2396,174.8641867624288,336.7081350301865,173.9620318372201,176.24361594899315,170.27723443593047,170.50205435575725
2397,174.86418685058774,336.72567933329697,173.96203304898097,176.2436251570871,170.27724907313734,170.50206903572203
2398,174.86418693812877,336.7432002681269,173.96203425377738,176.2436343211394,170.27726364416807,170.5020836493206
2399,174.86418702505622,336.7606978658019,173.96203545164934,176.24364344136072,170.2772781493219,170.50209819685298
2400,174.8641871113744,336.778172157406,173.96203664263666,176.24365251796067,170.27729258889661,170.50211267861783
2401,174.8641871970876,336.79562317398205,173.96203782677892,176.24366155114788,170.27730696318872,170.50212709491248
2402,174.86418728220002,336.81305094653135,173.96203900411547,176.24367054113003,170.27732127249337,170.50214144603294
2403,174.8641873667159,336.83045550601395,173.9620401746854,176.24367948811374,170.27733551710438,170.50215573227382
2404,174.8641874506394,336.8478368833487,173.9620413385276,176.24368839230468,170.2773496973142,170.50216995392842
2405,174.8641875339747,336.86519510941326,173.96204249568075,176.2436972539075,170.27736381341404,170.50218411128878
2406,174.8641876167259,336.8825302150442,173.9620436461833,176.24370607312594,170.27737786569375,170.5021982046455
2407,174.86418769889707,336.8998422310369,173.96204479007346,176.2437148501627,170.27739185444184,170.502212234288
2408,174.86418778049233,336.9171311881459,173.96204592738925,176.2437235852195,170.27740577994555,170.5022262005043
2409,174.8641878615157,336.9343971170846,173.96204705816845,176.24373227849716,170.2774196424908,170.5022401035811
2410,174.86418794197115,336.9516400485255,173.96204818244863,176.24374093019551,170.27743344236225,170.5022539438039
2411,174.86418802186267,336.9688600131004,173.96204930026713,176.24374954051342,170.27744717984325,170.50226772145683
2412,174.86418810119426,336.9860570414002,173.9620504116611,176.24375810964878,170.27746085521588,170.50228143682278
2413,174.86418817996983,337.0032311639751,173.96205151666746,176.2437666377986,170.27747446876091,170.5022950901833
2414,174.86418825819322,337.0203824113345,173.9620526153229,176.2437751251589,170.2774880207579,170.50230868181876
2415,174.8641883358684,337.0375108139472,173.96205370766396,176.24378357192475,170.27750151148507,170.50232221200815
2416,174.8641884129991,337.05461640224155,173.9620547937269,176.24379197829035,170.2775149412195,170.5023356810293
2417,174.86418848958922,337.0716992066052,173.96205587354783,176.2438003444489,170.27752831023687,170.50234908915874
2418,174.8641885656425,337.08875925738545,173.9620569471626,176.24380867059273,170.27754161881174,170.50236243667177
2419,174.86418864116274,337.1057965848891,173.9620580146069,176.2438169569132,170.27755486721733,170.5023757238424
2420,174.86418871615368,337.1228112193826,173.9620590759162,176.2438252036008,170.2775680557257,170.50238895094347
2421,174.86418879061895,337.1398031910921,173.96206013112572,176.2438334108451,170.27758118460767,170.50240211824652
2422,174.86418886456232,337.15677253020345,173.96206118027055,176.24384157883475,170.27759425413277,170.5024152260219
2423,174.86418893798745,337.1737192668624,173.96206222338554,176.24384970775748,170.27760726456938,170.5024282745387
2424,174.86418901089792,337.1906434311744,173.96206326050535,176.24385779780016,170.27762021618466,170.50244126406483
2425,174.86418908329736,337.2075450532049,173.96206429166443,176.24386584914876,170.2776331092445,170.50245419486697
2426,174.86418915518934,337.22442416297935,173.96206531689703,176.24387386198833,170.27764594401367,170.5024670672106
2427,174.86418922657742,337.241280790483,173.96206633623723,176.24388183650308,170.2776587207557,170.50247988136005
2428,174.86418929746517,337.25811496566143,173.9620673497189,176.24388977287632,170.27767143973296,170.50249263757834
2429,174.86418936785606,337.27492671842015,173.96206835737567,176.24389767129043,170.27768410120657,170.50250533612746
2430,174.8641894377536,337.29171607862486,173.96206935924107,176.243905531927,170.27769670543654,170.50251797726804
2431,174.8641895071612,337.30848307610154,173.96207035534835,176.24391335496674,170.27770925268166,170.50253056125965
2432,174.86418957608234,337.32522774063636,173.9620713457306,176.24392114058944,170.27772174319955,170.50254308836068
2433,174.8641896445204,337.34195010197595,173.96207233042077,176.24392888897407,170.27773417724669,170.5025555588283
