,Sterman soil,SC_OP trf_linear  soil,SC_OP trf_linear (constrained) soil,SC_OP trf_soft_l1 (constrained) soil,SC_OP trf_huber (constrained) soil,SC_OP trf_cauchy (constrained) soil
9081,172.11532562961065,397.74475818454687,188.07879549020635,190.05610965805562,194.43628587831319,198.6200188119909
9082,172.11532562961065,397.74482964387965,188.07879549020635,190.05610965805568,194.4362858783134,198.62001881200646
9083,172.11532562961065,397.744901036775,188.07879549020635,190.05610965805573,194.43628587831364,198.620018812022
9084,172.11532562961065,397.7449723632946,188.07879549020635,190.0561096580558,194.43628587831387,198.6200188120375
9085,172.11532562961065,397.74504362350024,188.07879549020635,190.05610965805585,194.4362858783141,198.62001881205296
9086,172.11532562961065,397.74511481745355,188.07879549020635,190.0561096580559,194.43628587831432,198.62001881206837
9087,172.11532562961065,397.7451859452161,188.07879549020635,190.05610965805596,194.43628587831455,198.62001881208374
9088,172.11532562961065,397.7452570068495,188.07879549020635,190.05610965805602,194.43628587831478,198.6200188120991
9089,172.11532562961065,397.7453280024152,188.07879549020635,190.05610965805607,194.436285878315,198.62001881211438
9090,172.11532562961065,397.7453989319746,188.07879549020635,190.05610965805613,194.43628587831523,198.62001881212964
9091,172.11532562961065,397.7454697955891,188.07879549020635,190.0561096580562,194.43628587831546,198.62001881214485
9092,172.11532562961065,397.74554059331996,188.07879549020635,190.05610965805624,194.4362858783157,198.62001881216003
9093,172.11532562961065,397.7456113252285,188.07879549020635,190.0561096580563,194.4362858783159,198.62001881217518
9094,172.11532562961065,397.7456819913758,188.07879549020635,190.05610965805636,194.43628587831614,198.62001881219027
9095,172.11532562961065,397.74575259182313,188.07879549020635,190.0561096580564,194.43628587831637,198.62001881220533
9096,172.11532562961065,397.74582312663154,188.07879549020635,190.05610965805647,194.4362858783166,198.62001881222034
9097,172.11532562961065,397.745893595862,188.07879549020635,190.05610965805653,194.43628587831682,198.62001881223532
9098,172.11532562961065,397.74596399957557,188.07879549020635,190.05610965805658,194.43628587831705,198.62001881225024
9099,172.11532562961065,397.74603433783307,188.07879549020635,190.05610965805664,194.43628587831728,198.62001881226513
9100,172.11532562961065,397.7461046106954,188.07879549020635,190.0561096580567,194.4362858783175,198.62001881228
9101,172.11532562961065,397.7461748182234,188.07879549020635,190.05610965805676,194.43628587831773,198.6200188122948
9102,172.11532562961065,397.7462449604777,188.07879549020635,190.0561096580568,194.43628587831796,198.62001881230958
9103,172.11532562961065,397.74631503751914,188.07879549020635,190.05610965805687,194.4362858783182,198.62001881232433
9104,172.11532562961065,397.7463850494082,188.07879549020635,190.05610965805693,194.43628587831842,198.62001881233903
9105,172.11532562961065,397.74645499620556,188.07879549020635,190.05610965805698,194.43628587831864,198.6200188123537
9106,172.11532562961065,397.7465248779717,188.07879549020635,190.05610965805704,194.43628587831887,198.6200188123683
9107,172.11532562961065,397.74659469476705,188.07879549020635,190.0561096580571,194.43628587831907,198.62001881238288
9108,172.11532562961065,397.74666444665206,188.07879549020635,190.05610965805715,194.43628587831927,198.62001881239743
9109,172.11532562961065,397.746734133687,188.07879549020635,190.0561096580572,194.43628587831947,198.62001881241193
9110,172.11532562961065,397.7468037559323,188.07879549020635,190.05610965805727,194.43628587831967,198.6200188124264
9111,172.11532562961065,397.74687331344813,188.07879549020635,190.05610965805732,194.43628587831986,198.62001881244083
9112,172.11532562961065,397.7469428062946,188.07879549020635,190.05610965805738,194.43628587832006,198.6200188124552
9113,172.11532562961065,397.74701223453195,188.07879549020635,190.05610965805744,194.43628587832026,198.62001881246957
9114,172.11532562961065,397.7470815982202,188.07879549020635,190.0561096580575,194.43628587832046,198.6200188124839
9115,172.11532562961065,397.7471508974193,188.07879549020635,190.05610965805755,194.43628587832066,198.62001881249816
9116,172.11532562961065,397.74722013218934,188.07879549020635,190.0561096580576,194.43628587832086,198.6200188125124
9117,172.11532562961065,397.7472893025901,188.07879549020635,190.05610965805766,194.43628587832106,198.6200188125266
9118,172.11532562961065,397.74735840868146,188.07879549020635,190.05610965805772,194.43628587832126,198.62001881254076
9119,172.11532562961065,397.7474274505232,188.07879549020635,190.05610965805778,194.43628587832146,198.6200188125549
9120,172.11532562961065,397.7474964281751,188.07879549020635,190.05610965805784,194.43628587832166,198.620018812569
9121,172.11532562961065,397.7475653416968,188.07879549020635,190.0561096580579,194.43628587832185,198.62001881258303
