,Sterman soil,NE_MBB trf_linear  soil,NE_MBB trf_linear (constrained) soil,NE_MBB trf_soft_l1  soil,NE_MBB trf_soft_l1 (constrained) soil,NE_MBB trf_huber  soil,NE_MBB trf_huber (constrained) soil,NE_MBB trf_cauchy  soil
101,123.80323546238932,128.81497370786622,123.64950053661133,133.81448119012921,123.43875238721462,133.93134705680973,123.47090067867052,135.15892691634477
102,124.3124603863867,129.1869747827104,124.11811216735042,134.10456847637292,123.84414075946492,134.2150496002203,123.87810841688497,135.38480976264006
103,124.82411395924255,129.5617621182805,124.58932786300426,134.39696279674303,124.2525582464944,134.5009996036746,124.28839483792171,135.6124682481017
104,125.33804688380094,129.9392499683887,125.06301730589378,134.69161436632965,124.66389466870916,134.7891488981921,124.70165089857812,135.84187114361958
105,125.85411310367559,130.31935400420105,125.53905284033155,134.98847409605278,125.07804179779625,135.0794499871049,125.11776948197497,136.07298761876322
106,126.37216975853975,130.7019912954545,126.01730943281032,135.28749358428786,125.49489333092478,135.37185603805307,125.53664537100312,136.30578723736346
107,126.8920771394322,131.08708029185246,126.49766463256712,135.58862510856713,125.91434486515662,135.6663208750481,125.95817522203902,136.5402399531272
108,127.41369864410666,131.4745408046392,126.97999853252536,135.89182161735755,126.33629387206817,135.96279897060438,126.38225753892908,136.7763161052853
109,127.93690073245105,131.86429398835364,127.46419373061715,136.1970367219149,126.760639672585,136.26124543793938,126.80879264724216,137.0139864142739
110,128.46155288200129,132.25626232276292,127.95013529148817,136.50422468821435,127.18728341203094,136.56161602324246,127.23768266879019,137.25322197744944
111,128.98752754357344,132.6503695949758,128.43771070858628,136.8133404289575,127.61612803539279,136.86386709801306,127.66883149641609,137.49399426483808
112,129.5147000970369,133.04654088173623,128.92680986663612,137.12433949565602,128.0470782628022,137.167955651468,128.10214476904855,137.73627511491887
113,130.04294880724996,133.4447025318966,129.41732500450055,137.43717807079167,128.4800405652355,137.47383928301846,128.5375298470229,137.98003673044175
114,130.57215478017824,133.8447821490715,129.90915067843028,137.75181296005294,128.91492314043302,137.78147619481672,128.97489578766746,138.22525167427992
115,131.10220191921533,134.2467085744709,130.40218372570249,138.0682015846477,129.35163588903822,138.09082518437242,129.4141533211541,138.47189286531707
116,131.63297688172378,134.6504118699131,130.89632322864927,138.3863019736925,129.79009039095791,138.40184563723903,129.85521482661278,138.71993357436963
117,132.16436903581416,135.05582330101723,131.39147047907633,138.70607275667751,130.23019988194415,138.7144975197698,130.2979943085085,138.96934742014375
118,132.69627041737803,135.4628753205743,131.88752894307228,139.0274731560077,130.67187923039816,139.02874137194394,130.74240737327983,139.2201083652276
119,133.22857568739084,135.8715015520973,132.3844042262087,139.35046297961944,131.1150449143972,139.3445383002625,131.18837120623795,139.47219071211876
120,133.76118208949896,136.28163677354888,132.88200403913095,139.67500261367277,131.55961499894443,139.66184997071403,131.63580454872485,139.72556909928696
121,134.29398940790463,136.6932169012471,133.38023816353964,140.00105301531883,132.00550911344214,139.98063860180986,132.08462767552982,139.98021849727186
122,134.8268999255618,137.10617897394755,133.8790184185621,140.32857570554214,132.4526484293889,140.30086695768927,132.5347623725625,140.2361142048163
123,135.3598183826947,137.52046113710233,134.37825862751384,140.6575327620776,132.90095563830016,140.6224983412937,132.98613191478162,140.49323184503484
124,135.89265193565086,137.93600262729402,134.8778745850487,140.9878868124019,133.35035492985298,140.94549658761053,133.43866104437743,140.75154736161755
125,136.42531011609867,138.35274375684492,135.3777840246976,141.31960102679878,133.80077197025432,141.2698260569858,133.89227594920723,141.01103701506912
126,136.9577047905796,138.77062589860003,135.87790658679455,141.65263911149802,134.25213388083307,141.5954516285058,134.34690424148184,141.27167737898307
127,137.48975012042422,139.18959147088339,136.37816378678872,141.9869653018879,134.7043692168556,141.92233869344741,134.80247493670169,141.53344533635146
128,138.0213625220401,139.60958392262654,136.87847898394176,142.32254435580018,135.15740794656452,142.25045314879662,135.25891843284123,141.79631807590943
129,138.55246062758016,140.0305477186685,137.3787773504089,142.65934154686803,135.61118143044007,142.5797613908354,135.7161664897797,142.06027308851498
