,Sterman biomass,NE_OH trf_linear  biomass,NE_OH trf_linear (constrained) biomass,NE_OH trf_soft_l1 (constrained) biomass,NE_OH trf_huber  biomass,NE_OH trf_huber (constrained) biomass
2296,316.66315186923543,342.8968580278323,333.2449366415445,349.72495594554,372.57636906432174,339.21539856673843
2297,316.663151869236,342.89685802876863,333.24493664167574,349.72495594669897,372.5763690958779,339.2153985669084
2298,316.6631518692366,342.8968580296961,333.2449366418056,349.724955947847,372.5763691271837,339.21539856707665
2299,316.66315186923714,342.8968580306147,333.24493664193415,349.7249559489842,372.576369158241,339.21539856724314
2300,316.6631518692377,342.8968580315245,333.24493664206136,349.72495595011065,372.57636918905183,339.21539856740793
2301,316.6631518692383,342.8968580324257,333.2449366421872,349.72495595122643,372.5763692196182,339.215398567571
2302,316.66315186923885,342.8968580333184,333.24493664231176,349.7249559523317,372.576369249942,339.2153985677324
2303,316.66315186923936,342.8968580342025,333.24493664243505,349.7249559534265,372.5763692800251,339.21539856789207
2304,316.66315186923987,342.89685803507825,333.24493664255704,349.72495595451096,372.57636930986956,339.21539856805015
2305,316.6631518692404,342.8968580359456,333.24493664267777,349.7249559555852,372.5763693394772,339.2153985682066
2306,316.6631518692409,342.89685803680476,333.2449366427972,349.7249559566493,372.5763693688498,339.2153985683614
2307,316.66315186924135,342.8968580376557,333.2449366429154,349.72495595770334,372.5763693979893,339.2153985685146
2308,316.6631518692418,342.8968580384986,333.2449366430323,349.7249559587474,372.5763694268976,339.2153985686663
2309,316.66315186924226,342.8968580393335,333.2449366431481,349.72495595978154,372.57636945557647,339.21539856881634
2310,316.6631518692427,342.8968580401604,333.24493664326263,349.7249559608059,372.57636948402774,339.2153985689649
2311,316.66315186924317,342.89685804097945,333.244936643376,349.7249559618206,372.5763695122532,339.2153985691118
2312,316.6631518692436,342.8968580417907,333.2449366434882,349.7249559628258,372.5763695402547,339.2153985692573
2313,316.6631518692441,342.8968580425943,333.2449366435992,349.72495596382146,372.576369568034,339.21539856940126
2314,316.66315186924453,342.89685804339024,333.2449366437091,349.7249559648077,372.5763695955929,339.21539856954377
2315,316.663151869245,342.8968580441786,333.24493664381777,349.7249559657846,372.5763696229331,339.2153985696848
2316,316.66315186924544,342.89685804495946,333.2449366439253,349.72495596675225,372.5763696500563,339.21539856982434
2317,316.66315186924584,342.89685804573287,333.2449366440318,349.7249559677108,372.57636967696425,339.2153985699624
2318,316.66315186924624,342.89685804649895,333.2449366441371,349.72495596866025,372.57636970365866,339.2153985700991
2319,316.66315186924663,342.89685804725775,333.24493664424136,349.7249559696007,372.57636973014127,339.2153985702344
2320,316.66315186924703,342.89685804800934,333.24493664434453,349.72495597053233,372.5763697564137,339.2153985703683
2321,316.66315186924743,342.89685804875376,333.2449366444466,349.72495597145513,372.5763697824777,339.2153985705008
2322,316.6631518692478,342.8968580494911,333.2449366445477,349.7249559723692,372.5763698083348,339.21539857063186
2323,316.6631518692482,342.8968580502214,333.2449366446477,349.72495597327463,372.57636983398675,339.21539857076164
2324,316.6631518692486,342.8968580509448,333.24493664474664,349.7249559741715,372.57636985943515,339.2153985708901
2325,316.663151869249,342.8968580516613,333.2449366448446,349.7249559750599,372.57636988468147,339.2153985710172
2326,316.6631518692494,342.896858052371,333.2449366449415,349.7249559759399,372.57636990972753,339.21539857114306
2327,316.66315186924976,342.8968580530739,333.2449366450374,349.7249559768116,372.5763699345748,339.21539857126754
2328,316.6631518692501,342.8968580537702,333.24493664513227,349.72495597767505,372.57636995922485,339.2153985713907
2329,316.66315186925044,342.89685805445976,333.2449366452262,349.7249559785304,372.5763699836793,339.2153985715127
2330,316.6631518692508,342.89685805514284,333.24493664531906,349.7249559793776,372.5763700079397,339.2153985716334
2331,316.6631518692511,342.8968580558194,333.24493664541103,349.7249559802168,372.5763700320076,339.2153985717528
2332,316.66315186925146,342.8968580564895,333.24493664550204,349.7249559810481,372.5763700558845,339.215398571871
2333,316.6631518692518,342.8968580571533,333.2449366455921,349.72495598187146,372.576370079572,339.215398571988
2334,316.66315186925215,342.89685805781073,333.2449366456812,349.7249559826871,372.57637010307144,339.21539857210377
2335,316.6631518692525,342.89685805846193,333.24493664576937,349.724955983495,372.5763701263844,339.21539857221836
2336,316.6631518692528,342.89685805910693,333.2449366458566,349.7249559842953,372.5763701495124,339.21539857233176
2337,316.66315186925306,342.8968580597458,333.24493664594297,349.72495598508806,372.5763701724568,339.215398572444
2338,316.66315186925334,342.8968580603786,333.2449366460284,349.7249559858733,372.5763701952191,339.21539857255505
2339,316.6631518692536,342.89685806100533,333.244936646113,349.72495598665114,372.57637021780084,339.2153985726649
2340,316.66315186925397,342.8968580616262,333.24493664619666,349.7249559874216,372.57637024020335,339.21539857277367
2341,316.6631518692543,342.89685806224105,333.2449366462795,349.7249559881848,372.57637026242804,339.2153985728813
2342,316.66315186925465,342.89685806285013,333.24493664636145,349.7249559889408,372.57637028447647,339.21539857298785
2343,316.663151869255,342.8968580634534,333.24493664644257,349.7249559896896,372.5763703063499,339.2153985730933
2344,316.66315186925533,342.89685806405095,333.2449366465228,349.72495599043134,372.5763703280497,339.21539857319766
2345,316.66315186925567,342.8968580646428,333.2449366466022,349.7249559911661,372.57637034957736,339.21539857330094
2346,316.663151869256,342.896858065229,333.2449366466808,349.72495599189386,372.57637037093417,339.2153985734032
2347,316.66315186925635,342.8968580658096,333.24493664675856,349.72495599261475,372.5763703921215,339.2153985735044
2348,316.6631518692567,342.8968580663847,333.2449366468355,349.7249559933288,372.57637041314064,339.2153985736045
2349,316.66315186925704,342.89685806695434,333.24493664691164,349.7249559940362,372.57637043399296,339.21539857370357
2350,316.6631518692574,342.89685806751856,333.24493664698696,349.72495599473683,372.5763704546798,339.2153985738016
2351,316.6631518692577,342.8968580680774,333.24493664706154,349.7249559954309,372.5763704752025,339.2153985738987
2352,316.663151869258,342.89685806863093,333.2449366471353,349.72495599611835,372.57637049556234,339.2153985739947
2353,316.6631518692583,342.89685806917925,333.2449366472083,349.72495599679934,372.57637051576063,339.21539857408976
2354,316.66315186925857,342.89685806972227,333.24493664728055,349.7249559974739,372.5763705357986,339.2153985741838
2355,316.66315186925885,342.8968580702602,333.24493664735206,349.7249559981421,372.57637055567756,339.2153985742769
2356,316.66315186925914,342.896858070793,333.24493664742283,349.724955998804,372.57637057539876,339.21539857436903
2357,316.66315186925937,342.89685807132065,333.24493664749286,349.7249559994596,372.57637059496346,339.2153985744602
2358,316.6631518692596,342.8968580718433,333.24493664756216,349.72495600010905,372.57637061437293,339.2153985745505
2359,316.6631518692598,342.89685807236106,333.2449366476307,349.72495600075234,372.57637063362836,339.21539857463983
2360,316.66315186926005,342.89685807287384,333.2449366476986,349.72495600138956,372.576370652731,339.2153985747282
2361,316.6631518692603,342.89685807338174,333.24493664776577,349.72495600202075,372.57637067168207,339.2153985748157
2362,316.6631518692605,342.8968580738848,333.2449366478322,349.72495600264597,372.5763706904827,339.2153985749023
2363,316.66315186926073,342.8968580743831,333.244936647898,349.7249560032653,372.57637070913415,339.21539857498794
2364,316.66315186926096,342.89685807487666,333.2449366479631,349.72495600387873,372.5763707276376,339.21539857507275
2365,316.6631518692612,342.8968580753655,333.2449366480275,349.7249560044864,372.5763707459942,339.21539857515666
2366,316.6631518692614,342.89685807584976,333.2449366480912,349.72495600508825,372.57637076420514,339.2153985752397
2367,316.66315186926164,342.8968580763294,333.2449366481543,349.7249560056845,372.57637078227157,339.2153985753219
2368,316.66315186926187,342.89685807680445,333.2449366482167,349.7249560062751,372.57637080019464,339.21539857540324
2369,316.6631518692621,342.89685807727494,333.2449366482785,349.72495600686005,372.57637081797543,339.21539857548373
2370,316.6631518692623,342.896858077741,333.2449366483396,349.7249560074396,372.57637083561514,339.21539857556337
2371,316.66315186926255,342.8968580782026,333.2449366484001,349.7249560080136,372.57637085311484,339.2153985756422
2372,316.6631518692628,342.8968580786599,333.24493664845994,349.7249560085821,372.5763708704757,339.2153985757202
2373,316.663151869263,342.89685807911275,333.2449366485192,349.72495600914533,372.57637088769883,339.21539857579745
2374,316.66315186926323,342.8968580795613,333.24493664857783,349.7249560097032,372.5763709047853,339.2153985758739
2375,316.66315186926346,342.8968580800056,333.2449366486358,349.7249560102558,372.57637092173604,339.21539857594956
2376,316.6631518692637,342.89685808044567,333.2449366486932,349.72495601080317,372.5763709385523,339.2153985760244
2377,316.6631518692639,342.89685808088154,333.24493664875007,349.72495601134534,372.5763709552352,339.2153985760985
2378,316.66315186926414,342.8968580813133,333.2449366488063,349.7249560118824,372.5763709717856,339.2153985761718
2379,316.66315186926437,342.89685808174096,333.24493664886194,349.72495601241445,372.5763709882047,339.2153985762444
2380,316.6631518692646,342.89685808216456,333.244936648917,349.72495601294145,372.5763710044935,339.21539857631626
2381,316.6631518692648,342.8968580825841,333.24493664897153,349.7249560134635,372.5763710206531,339.2153985763874
2382,316.66315186926505,342.8968580829997,333.2449366490254,349.72495601398055,372.5763710366844,339.21539857645774
2383,316.6631518692653,342.89685808341136,333.24493664907874,349.7249560144927,372.5763710525885,339.2153985765274
