,Sterman biomass,SC_SLP trf_linear  biomass,SC_SLP trf_linear (constrained) biomass,SC_SLP trf_huber (constrained) biomass,SC_SLP dogbox_linear (constrained) biomass,SC_SLP dogbox_huber (constrained) biomass
105,134.21484363188313,134.2017862815898,134.19116239004893,134.22052317256447,134.19121267795254,134.22056328834887
106,134.21484373532155,134.20178635467414,134.19116246106927,134.22052324612295,134.19121274904637,134.22056336198048
107,134.21484381914817,134.2017864137362,134.19116251844696,134.22052330556863,134.19121280648417,134.22056342148602
108,134.21484388708134,134.20178646146633,134.1911625648027,134.22052335360917,134.19121285288904,134.22056346957552
109,134.21484394213445,134.2017865000388,134.19116260225374,134.22052339243274,134.19121289038026,134.22056350843914
110,134.21484398674954,134.2017865312106,134.19116263251064,134.22052342380766,134.19121292066998,134.22056353984686
111,134.21484402290568,134.2017865564016,134.19116265695533,134.2205234491631,134.1912129451415,134.22056356522904
112,134.21484405220664,134.20178657675936,134.19116267670432,134.22052346965387,134.19121296491244,134.22056358574173
113,134.21484407595216,134.20178659321118,134.19116269265962,134.22052348621335,134.19121298088567,134.2205636023191
114,134.21484409519553,134.2017866065065,134.19116270554997,134.22052349959574,134.19121299379069,134.22056361571612
115,134.21484411079038,134.20178661725092,134.19116271596417,134.2205235104106,134.19121300421685,134.22056362654294
116,134.21484412342846,134.20178662593386,134.19116272437785,134.22052351915056,134.19121301264028,134.22056363529265
117,134.2148441336704,134.20178663295087,134.19116273117533,134.22052352621367,134.1912130194457,134.22056364236374
118,134.21484414197047,134.20178663862157,134.191162736667,134.2205235319217,134.19121302494392,134.22056364807827
119,134.21484414869684,134.2017866432043,134.19116274110377,134.22052353653459,134.191213029386,134.22056365269646
120,134.21484415414793,134.20178664690772,134.19116274468823,134.22052354026246,134.19121303297487,134.22056365642868
121,134.21484415856548,134.2017866499006,134.19116274758414,134.2205235432751,134.19121303587434,134.22056365944488
122,134.21484416214548,134.20178665231924,134.1911627499238,134.22052354570974,134.19121303821686,134.2205636618824
123,134.2148441650467,134.20178665427386,134.191162751814,134.22052354767726,134.19121304010943,134.22056366385232
124,134.21484416739787,134.20178665585343,134.19116275334113,134.22052354926728,134.19121304163846,134.22056366544427
125,134.21484416930326,134.20178665712993,134.19116275457486,134.22052355055226,134.1912130428738,134.22056366673084
126,134.2148441708474,134.20178665816152,134.1911627555716,134.22052355159073,134.19121304387187,134.2205636677706
127,134.21484417209876,134.20178665899522,134.19116275637688,134.22052355242994,134.1912130446782,134.22056366861085
128,134.21484417311285,134.20178665966893,134.19116275702748,134.22052355310814,134.19121304532962,134.2205636692899
129,134.2148441739347,134.2017866602134,134.19116275755312,134.22052355365622,134.19121304585593,134.22056366983867
130,134.21484417460073,134.2017866606534,134.19116275797774,134.22052355409915,134.19121304628115,134.2205636702822
131,134.21484417514046,134.20178666100898,134.19116275832081,134.22052355445712,134.19121304662468,134.22056367064062
132,134.21484417557784,134.20178666129632,134.191162758598,134.22052355474636,134.19121304690225,134.22056367093026
133,134.2148441759323,134.20178666152856,134.19116275882192,134.22052355498013,134.1912130471265,134.22056367116434
134,134.21484417621957,134.2017866617162,134.19116275900282,134.22052355516905,134.19121304730766,134.22056367135352
135,134.21484417645235,134.20178666186786,134.19116275914897,134.22052355532176,134.19121304745403,134.2205636715064
136,134.214844176641,134.20178666199044,134.19116275926706,134.22052355544517,134.1912130475723,134.22056367162995
137,134.21484417679392,134.2017866620895,134.19116275936247,134.22052355554487,134.19121304766784,134.2205636717298
138,134.2148441769178,134.20178666216952,134.19116275943952,134.22052355562545,134.19121304774504,134.22056367181048
139,134.21484417701825,134.2017866622342,134.19116275950182,134.22052355569056,134.1912130478074,134.2205636718757
140,134.21484417709962,134.20178666228648,134.19116275955213,134.22052355574317,134.1912130478578,134.22056367192843
141,134.21484417716556,134.20178666232871,134.19116275959277,134.22052355578572,134.1912130478985,134.220563671971
142,134.214844177219,134.20178666236288,134.19116275962563,134.22052355582008,134.19121304793134,134.22056367200543
143,134.2148441772623,134.20178666239048,134.19116275965214,134.22052355584785,134.19121304795792,134.22056367203325
144,134.2148441772974,134.20178666241276,134.1911627596736,134.22052355587033,134.19121304797937,134.22056367205573
145,134.21484417732586,134.20178666243078,134.19116275969094,134.22052355588846,134.1912130479967,134.2205636720739
146,134.2148441773489,134.2017866624453,134.19116275970492,134.2205235559031,134.19121304801072,134.2205636720886
147,134.21484417736758,134.2017866624571,134.1911627597162,134.22052355591495,134.19121304802204,134.22056367210044
148,134.21484417738273,134.2017866624666,134.19116275972536,134.22052355592453,134.1912130480312,134.22056367211002
149,134.21484417739498,134.20178666247426,134.19116275973272,134.22052355593226,134.19121304803858,134.22056367211778
150,134.21484417740493,134.2017866624805,134.1911627597387,134.2205235559385,134.19121304804455,134.22056367212403
151,134.21484417741297,134.20178666248552,134.19116275974352,134.22052355594354,134.19121304804938,134.2205636721291
152,134.21484417741948,134.20178666248958,134.19116275974739,134.22052355594764,134.19121304805327,134.22056367213318
153,134.2148441774248,134.20178666249285,134.1911627597505,134.22052355595093,134.19121304805643,134.22056367213648
154,134.2148441774291,134.2017866624955,134.19116275975304,134.2205235559536,134.19121304805896,134.22056367213915
155,134.21484417743255,134.20178666249763,134.1911627597551,134.22052355595577,134.191213048061,134.2205636721413
156,134.21484417743537,134.20178666249936,134.19116275975674,134.22052355595753,134.19121304806268,134.22056367214304
157,134.21484417743767,134.20178666250078,134.1911627597581,134.22052355595895,134.19121304806401,134.22056367214446
158,134.21484417743952,134.20178666250192,134.19116275975918,134.22052355596009,134.1912130480651,134.2205636721456
159,134.21484417744102,134.2017866625028,134.19116275976003,134.220523555961,134.19121304806598,134.2205636721465
160,134.21484417744222,134.2017866625035,134.19116275976074,134.22052355596176,134.1912130480667,134.22056367214725
161,134.2148441774432,134.2017866625041,134.19116275976134,134.22052355596236,134.19121304806725,134.22056367214785
162,134.214844177444,134.2017866625046,134.19116275976182,134.22052355596284,134.1912130480677,134.22056367214833
163,134.21484417744463,134.201786662505,134.1911627597622,134.2205235559632,134.19121304806808,134.22056367214873
164,134.21484417744514,134.20178666250533,134.1911627597625,134.22052355596355,134.19121304806836,134.22056367214907
165,134.21484417744557,134.20178666250558,134.19116275976276,134.2205235559638,134.19121304806862,134.22056367214932
166,134.2148441774459,134.2017866625058,134.19116275976296,134.22052355596404,134.19121304806882,134.22056367214955
167,134.21484417744622,134.20178666250598,134.1911627597631,134.2205235559642,134.191213048069,134.22056367214972
168,134.21484417744645,134.20178666250612,134.19116275976322,134.22052355596435,134.1912130480691,134.22056367214986
169,134.21484417744665,134.20178666250624,134.1911627597633,134.22052355596446,134.19121304806922,134.22056367214995
170,134.21484417744682,134.20178666250632,134.19116275976336,134.22052355596455,134.1912130480693,134.22056367215004
171,134.21484417744693,134.20178666250638,134.19116275976342,134.2205235559646,134.19121304806936,134.2205636721501
172,134.21484417744702,134.20178666250644,134.19116275976347,134.22052355596466,134.19121304806941,134.22056367215015
173,134.2148441774471,134.2017866625065,134.1911627597635,134.22052355596472,134.19121304806947,134.22056367215018
174,134.21484417744716,134.20178666250652,134.19116275976353,134.22052355596475,134.1912130480695,134.2205636721502
175,134.21484417744722,134.20178666250655,134.19116275976356,134.22052355596477,134.19121304806953,134.22056367215023
176,134.21484417744728,134.20178666250655,134.19116275976359,134.2205235559648,134.19121304806956,134.22056367215026
177,134.21484417744733,134.20178666250655,134.1911627597636,134.22052355596483,134.19121304806959,134.2205636721503
178,134.21484417744736,134.20178666250655,134.19116275976364,134.22052355596486,134.1912130480696,134.2205636721503
179,134.2148441774474,134.20178666250655,134.19116275976367,134.2205235559649,134.1912130480696,134.2205636721503
180,134.21484417744742,134.20178666250655,134.1911627597637,134.22052355596492,134.1912130480696,134.2205636721503
181,134.21484417744745,134.20178666250655,134.1911627597637,134.22052355596492,134.1912130480696,134.2205636721503
182,134.21484417744747,134.20178666250655,134.1911627597637,134.22052355596492,134.1912130480696,134.2205636721503
183,134.2148441774475,134.20178666250655,134.1911627597637,134.22052355596492,134.1912130480696,134.2205636721503
184,134.2148441774475,134.20178666250655,134.1911627597637,134.22052355596492,134.1912130480696,134.2205636721503
185,134.2148441774475,134.20178666250655,134.1911627597637,134.22052355596492,134.1912130480696,134.2205636721503
186,134.2148441774475,134.20178666250655,134.1911627597637,134.22052355596492,134.1912130480696,134.2205636721503
